RunTime(sec),Appl,Clients,Req,1xx,2xx,3xx,4xx,5xx,Err,T-Err,D,D-2xx,Ti,To
0, H/F   , 10, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1300
0, H/F/S , 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
3, H/F   , 410, 124, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5373
3, H/F/S , 410, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
6, H/F   , 1010, 83, 0, 51, 0, 0, 0, 74, 0, 4622, 4622, 714, 3596
6, H/F/S , 1010, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
11, H/F   , 1610, 187, 0, 54, 0, 0, 0, 859, 0, 7828, 7828, 453, 4862
11, H/F/S , 1610, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
14, H/F   , 2010, 309, 0, 40, 0, 0, 0, 368, 0, 11303, 11303, 560, 13390
14, H/F/S , 2010, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
17, H/F   , 2410, 368, 0, 33, 0, 0, 0, 604, 0, 12205, 12205, 462, 15946
17, H/F/S , 2410, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
22, H/F   , 2810, 275, 0, 64, 0, 0, 0, 755, 0, 13272, 13272, 672, 8937
22, H/F/S , 2810, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
27, H/F   , 3210, 284, 0, 65, 0, 0, 0, 1016, 0, 13289, 13289, 546, 7384
27, H/F/S , 3210, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
32, H/F   , 3610, 412, 0, 69, 0, 0, 0, 1283, 0, 14121, 14121, 579, 10712
32, H/F/S , 3610, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
35, H/F   , 3810, 106, 0, 37, 0, 0, 0, 740, 0, 15261, 15261, 518, 4593
35, H/F/S , 3810, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
39, H/F   , 4010, 101, 0, 42, 0, 0, 0, 1111, 0, 14534, 14534, 588, 4376
39, H/F/S , 4010, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
43, H/F   , 4210, 157, 0, 56, 0, 0, 0, 1320, 0, 14772, 14772, 588, 5102
43, H/F/S , 4210, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
49, H/F   , 4410, 171, 0, 62, 0, 0, 0, 1358, 0, 14709, 14709, 520, 4446
49, H/F/S , 4410, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
53, H/F   , 4610, 238, 0, 56, 0, 0, 0, 1375, 0, 13592, 13592, 588, 7735
53, H/F/S , 4610, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
57, H/F   , 4810, 164, 0, 50, 0, 0, 0, 1316, 0, 13826, 13826, 525, 5330
57, H/F/S , 4810, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
62, H/F   , 5010, 196, 0, 55, 0, 0, 0, 1789, 0, 12990, 12990, 577, 6370
62, H/F/S , 5010, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
67, H/F   , 5210, 232, 0, 65, 0, 0, 0, 1605, 0, 13715, 13715, 546, 6032
67, H/F/S , 5210, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
73, H/F   , 5410, 205, 0, 61, 0, 0, 0, 1874, 0, 13512, 13512, 512, 5330
73, H/F/S , 5410, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
78, H/F   , 5610, 207, 0, 63, 0, 0, 0, 1772, 0, 14660, 14660, 529, 5382
78, H/F/S , 5610, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
83, H/F   , 5810, 217, 0, 58, 0, 0, 0, 2012, 0, 13781, 13781, 487, 5642
83, H/F/S , 5810, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
89, H/F   , 6010, 222, 0, 65, 0, 0, 0, 1875, 0, 14231, 14231, 546, 5772
89, H/F/S , 6010, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
94, H/F   , 6210, 180, 0, 59, 0, 0, 0, 2138, 0, 14995, 14995, 495, 4680
94, H/F/S , 6210, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
100, H/F   , 6410, 252, 0, 67, 0, 0, 0, 1983, 0, 14297, 14297, 562, 6552
100, H/F/S , 6410, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
106, H/F   , 6610, 172, 0, 62, 0, 0, 0, 2293, 0, 14732, 14732, 520, 4472
106, H/F/S , 6610, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
112, H/F   , 6810, 232, 0, 74, 0, 0, 0, 2170, 0, 15814, 15814, 518, 5026
112, H/F/S , 6810, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
*, *, *, *, *, *, *, *, *, *, *, *, *, *
RunTime(sec),Appl,Clients,Req,1xx,2xx,3xx,4xx,5xx,Err,T-Err,D,D-2xx,Ti,To
118, H/F   , 7010, 5298, 0, 1369, 0, 0, 0, 34192, 0, 13548, 13548, 487, 5836
118, H/F/S , 7010, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
